NP,,Nombre,Estado,municipio,Colonia,Dirección,latitud,longitud
1,MIGUEL,Parque Dr. Luis Guevara Camacho,Oaxaca,Huajuapan de León,Del Carmen,Jerusalén,17.795464,-97.786795
2,MIGUEL,"Colonia Centro, San Andres Dinicuiti",Oaxaca,San Andrés Dinicuiti,Centro,Miguel Hidalgo,17.688798,-97.726693
3,MIGUEL,Santiago Cacaloxtepec,Oaxaca,Santiago Cacaloxtepec,Centro,Reforma,17.721161,97.742058
4,MIGUEL,Santa María Camotlán,Oaxaca,Santa María Camotlán,Centro,Antonio de León,17.897685,-97.692843
5,MIGUEL,Cerca de Parque Municipal,Oaxaca,Villa de Tamazulapan del Progreso,Centro,Avenida principal,17.672062,-97.573317
6,MIGUEL,San Jose Ayuquila,Oaxaca,San Jose Ayuquila,Centro,Hidalgo,17.943719,-97.969061
7,MIGUEL,Santa Catarina,Oaxaca,Santa Catarina,Centro,Benito Juárez,17.955576,-98.011498
8,MIGUEL,Col. Guadalupe,Oaxaca,Huajuapan de León,Guadalupe,Guadalupe Victoria,17.808887,-97.7836
9,MIGUEL,Parque Fovissste,Oaxaca,Huajuapan de León,Fovissste,C. 15,17.82688,-97.781314
10,MIGUEL,Santiago Chilixtlahuaca ,Oaxaca,Huajuapan de León,Barrio de Guadalupe,Matamoros,17.905328,-97.895191
11,MIGUEL,Col. Reforma,Oaxaca,Huajuapan de León,Reforma,Av. Ermita,17.822826,-97.784944
12,MIGUEL,Tejaltitlán,Oaxaca,San Jerónimo Silacayoapilla,Tejaltitlán,Flores,17.79919,-97.842656
13,MIGUEL,Cerca de la Iglesia san Diego de Alcalá,Oaxaca,Huajuapan de León,Santa María Xochixtlapilco,,17.780684,-97.787974
14,MIGUEL,Col. Santa Rosa 2da Sección,Oaxaca,Huajuapan de León,Santa Rosa 2da Sección,,,
15,MIGUEL,Cerca del Parque Municipal ,Oaxaca,Santiago Ayuquililla,Centro,Porfirio Díaz,17.934752,-97.958497
16,MIGUEL,Antorcha Popular,Oaxaca,Huajuapan de León,Unidad Deportiva Antorcha ,Av. México,17.82941,-97.79
17,MIGUEL,Arroyo Chahue,Oaxaca,Santa María Huatulco,Arroyo Chahue,Bahía Maguey,15.77151,-96.141587
18,MIGUEL,Sector U2 Norte Canchas,Oaxaca,Santa María Huatulco,Sector U2 Norte,,15.785891,-96.141835
19,MIGUEL,"Sector H2, en las Canchas de Basquetbol",Oaxaca,Santa María Huatulco,Sector H2,,15.765435,-96.133454
20,MIGUEL,Frente a la Primaria Sor Juana Ines de la Cruz,Oaxaca,Santa María Tonameca,Cuatode Tonameca,,15.73481,-96.51984
21,MIGUEL,Rancho Parajito,Oaxaca,Santa María Huatulco,Rancho Parajito,,15.793333,-96.135
22,MIGUEL,Centro de Cozoaltepec,Oaxaca,Santa María Tonameca,Santa María Tonameca,,15.745644,-96.545506
23,MIGUEL,Sector U2 Parque,Oaxaca,Santa María Huatulco,Sector U2,,15.779874,-96.140308
24,MIGUEL,Col. Laguna Seca,Oaxaca,Santa María Huatulco,Laguna Seca,,15.794444,-96.128889
25,MIGUEL,Comunidad Piedra de Moros / Arrollo González,Oaxaca,Santa María Huatulco,Piedra de Moros,,15.798409,-96.231115
26,MIGUEL,Comunidad Paso Ancho,Oaxaca,Santa María Huatulco,Paso Ancho,,15.83279,-96.321783
27,MIGUEL,Palotada / Los Ciruelos,Oaxaca,San Pedro Pochutla,Centro,,15.723411,-96.388976
28,MIGUEL,Comunidad Barra de Copalita,Oaxaca,Santa María Huatulco,Barra de Copalita,,15.818744,-96.06109
29,MIGUEL,Cuapinolito,Oaxaca,Santa María Huatulco,Cuapinolito,,15.839973,-96.317019
30,MIGUEL,El Arenoso / El Faisán,Oaxaca,Santa María Huatulco,El Arenoso,,15.7908,-96.191744
31,MIGUEL,Bajos de Coyula/puente Coyula,Oaxaca,Santa María Huatulco,Puente de Coyula,,15.752659,-96.29909
32,MIGUEL,Sector I,Oaxaca,Santa María Huatulco,Sector I,,15.765917,-96.130904
33,MIGUEL,Barra de La Cruz,Oaxaca,Santiago Astata,Barra de La Cruz,,15.839358,-95.970705
34,MIGUEL,Fraccionamiento San Agustin,Oaxaca,Santa María Huatulco,Fraccionamiento San Agustin,,15.761974,-96.274323
35,MIGUEL,Fraccionamiento el Crucero o el Zapote,Oaxaca,Santa María Huatulco,Fraccionamiento el Crucero o el Zapote,,,
36,MIGUEL,Comunidad Barra de Copalita,Oaxaca,Santa María Huatulco,Barra de Copalita,,15.818744,-96.06109
37,MIGUEL,Explanada Municipal de San Martin Cansecos,Oaxaca,San Martin de los Cansecos,San Mateo Rio Hondo,Piedras Negras- San Mateo Rio Hondo,16.656705,-96.727847
38,MIGUEL,San Baltazar Chichicapam,Oaxaca,San Baltazar Chichicapam,centro,Calle Benito Juarez,,
39,MIGUEL,Cerca de la Telesecundaria Jalpan,Oaxaca,San Raymundo Jalpan,San Raymundo Jalpan,Privada de Arista,16.97534,-96.754687
40,MIGUEL,Hidalgo,Oaxaca,Coatecas,Ricardo Flores Magón 3ra sección,Hidalgo,16.54324,-96.673175
41,MIGUEL,Explanada Municipal San Martín Tilcajete,Oaxaca,San Martín Tilcajete,Centro,Progreso,16.860465,-96.69443
42,MIGUEL,Explanada Municipal San Miguel Ejutla,Oaxaca,San Miguel Ejutla,Morelos,Porfirio Díaz,16.577619,-96.735742
43,MIGUEL,Yaxe,Oaxaca,Yaxe,San Baltazar Chichicapam,,16.726129,-96.471358
44,MIGUEL,San Antonio Arrazola,Oaxaca,Santa Cruz Xoxocotlán,San Antonio Arrazola,,,
45,MIGUEL,Morelos,Oaxaca,Zimatlán de Álvarez,El Trapiche,Morelos,16.763822,-96.858029
46,MIGUEL,Reforma,Oaxaca,Heroica Cd. De Ejutla de Crespo,Heroica Cd. De Ejutla de Crespo,Reforma,16.615171,-96.719178
47,MIGUEL,Ayoquezco de Aldama,Oaxaca,Zimatlán de Álvarez,Ayoquezco de Aldama,,,
48,MIGUEL,Los Ocotes,Oaxaca,Heroica Cd. De Ejutla de Crespo,Los Ocotes,,,
49,MIGUEL,Hidalgo,Oaxaca,Coatecas,Ricardo Flores Magón 3ra sección,Hidalgo,16.54324,-96.673175
50,MIGUEL,Palacio Municipal,Oaxaca,San Pablo Huixtepec,Centro,Matamoros,16.82636,-96.78113
51,MIGUEL,Barrio San Antonio,Oaxaca,San Pablo Huixtepec,Barrio San Antonio,,,
52,MIGUEL,Vicente Guerrero,Oaxaca,Cuilapam de Guerrero,Vicente Guerrero,,,
53,MIGUEL,Tejas de Morelos,Oaxaca,Ocotlán de Morelos,Tejas de Morelos,,,
54,MIGUEL,Barrio de Arriba,Oaxaca,Zimatlán de Álvarez,Centro,,,
55,MIGUEL,Parque de San Pedro Apóstol,Oaxaca,Ocotlán de Morelos,Centro,,,
56,MIGUEL,Campo de Beisbol Tequio Monte Alban,Oaxaca,San Agustín de las Juntas,Centro,,,
57,MIGUEL,Col. Reforma,Oaxaca,Oaxaca,Reforma,,,
58,MIGUEL,Santiago Matatlán,Oaxaca,Santiago Matatlán,Santiago Matatlán,,16.868327,-96.381187
59,MIGUEL,San Baltazar Guelavila,Oaxaca,San Dionisio Ocotepec,Centro,,16.793966,-96.304495
60,MIGUEL,Fraccionamiento el Retiro,Oaxaca,Santa María Guelace,Fraccionamiento el Retiro,,17.04669,-96.63296
61,MIGUEL,San Sebastián Abasolo,Oaxaca,San Sebastián Abasolo,San Sebastián Abasolo,,16.995183,-96.589539
62,MIGUEL,Santa Lucia del Camino,Oaxaca,Santa Lucía del Camino,Villa de Díaz Ordaz,,,
63,MIGUEL,Benito Juárez,Oaxaca,Villa Díaz Ordaz,Villa Díaz Ordaz,Benito Juárez,16.996596,-96.432531
64,MIGUEL,San Andres Ixtlahuaca,Oaxaca,San Andres Ixtlahuaca,Benito Juárez,,17.071832,-96.82695
65,MIGUEL,Templo de San Lucas,Oaxaca,San Lucas Quiavíni,Centro,,16.895017,-96.468011
66,MIGUEL,San Juan Guelavia,Oaxaca,San Juan Guelavia,Morelos,,16.9565,-96.546105
67,MIGUEL,Av. Coixtlahuaca,Oaxaca,San Pablo Huitzo,San Pablo Huitzo,Av. Coixtlahuaca,17.277369,-96.885164
68,MIGUEL,San Dionisio Ocotepec,Oaxaca,San Dionisio Ocotepec,Centro,,16.802805,-96.393132
69,MIGUEL,Santa Ana del Valle,Oaxaca,Santa Ana del Valle,Santa Ana del Valle,,,
70,MIGUEL,Fraccionamiento el Rosario,Oaxaca,San Sebastián Tutla,Fraccionamiento el Rosario,,,
71,MIGUEL,San Marcos Tlapazola,Oaxaca,Tlacolula de Matamoros,Centro,Avenida Principal,16.868269,-96.379761
72,MIGUEL,Fraccionamiento Ciudad Yagul,Oaxaca,Tlacolula de Matamoros,Ciudad Yugul,,16.978338,-96.462632
73,MIGUEL,San Felipe Güila,Oaxaca,Santiago Matatlán,San Felipe Güila,,,
74,MIGUEL,San Bartolomé Quialana,Oaxaca,San Bartolomé Quialana,Centro,,16.903122,-96.501476
75,MIGUEL,Benito Juárez,Oaxaca,Villa Díaz Ordaz,Villa Díaz Ordaz,,16.996596,-96.432531
76,MIGUEL,Jalapa del Valle,Oaxaca,San Felipe Tejalápam,Jalapa del Valle,,,
77,MIGUEL,Av. Libertad ,Oaxaca,Santa María Atzompa,Centro,,,
78,MIGUEL,Miramar,Oaxaca,Pinotepa Nacional,Miramar,Progreso,16.333239,-98.055112
79,MIGUEL,Collantes,Oaxaca,Pinotepa Nacional,Centro,,16.187162,-97.970957
80,MIGUEL,"Parque Central Morelos, Santa Ma. Huazolotitlán.",Oaxaca,Santa Ma. Huazolotitlán,José María Morelos,,,
81,MIGUEL,Iglesia Santiago Apóstol,Oaxaca,San Pedro Jicayán ,Col. Centro,Calle Pacifico,16.448945,-98.015738
82,MIGUEL,Cubitan de Dolores,Oaxaca,San Andrés Huaxpaltepec,Centro,,16.358675,-97.891566
83,MIGUEL,Centro de Fe y Amor,Oaxaca,Santa Catarina Mechoacán,Centro,,16.333356,-98.058265
84,MIGUEL,Comedor Juquilita,Oaxaca,San Agustín Chayuco,Centro,,16.40232,-97.808108
85,MIGUEL,Col. Aviación,Oaxaca,Santiago Jamiltepec,Aviación,,16.450455,-98.014066
86,MIGUEL,Cerca de la Secundaria Tec. Ind. No. 123 T.M,Oaxaca,San Pedro Jicayán ,Itindúa,,16.331885,-98.046956
87,MIGUEL,Cruz de Itacuán,Oaxaca,Pinotepa Nacional,Cruz de Itacuán,,16.281379,-97.833559
88,MIGUEL,5 de Mayo,Oaxaca,Pinotepa Nacional,5 de Mayo,,16.21161,-97.97903
89,MIGUEL,El Carrizo,Oaxaca,Pinotepa Nacional,El Carrizo,,,
90,MIGUEL,Iglesia de San Andrés Tatachu,Oaxaca,San Andrés Huaxpaltepec,Centro,,16.329616,-97.916553
91,MIGUEL,Parque Central,Oaxaca,Pinotepa de Don Luis,Centro,,,
92,MIGUEL,Cerro de la Esperanza,Oaxaca,Pinotepa Nacional,La Esperanza,,16.211503,-97.978724
93,MIGUEL,La Noria,Oaxaca,Pinotepa Nacional,Centro,,16.202359,-98.063625
94,MIGUEL,Parque Rasgado,Oaxaca,Salina Cruz,María Lombardo,,16.99306,-95.202313
95,MIGUEL,Santa Cruz Bamba,Oaxaca,Santo Domingo Tehuantepec,Santa Cruz Bamba,,16.031679,-95.425597
96,MIGUEL,Deportiva Sur,Oaxaca,Salina Cruz,Deportiva Sur,,,
97,MIGUEL,Calle Manuel Ávila Camacho,Oaxaca,Salina Cruz,Francisco I Madero,,16.219407,-95.213022
98,MIGUEL,Barrio las Hormigas,Oaxaca,Salina Cruz,Las Hormigas,,16.181541,-95.193725
99,MIGUEL,Calle Virgilio Uribe,Oaxaca,Salina Cruz,Guadalupe,,16.176616,-95.197547
100,MIGUEL,Calle Loma Bonita,Oaxaca,Salina Cruz,Del Bosque,,16.213895,-95.222395
101,MIGUEL,Fraccionamiento Tortolita,Oaxaca,Salina Cruz,Playa la Colorada,Bahía San Diego,15.987747,-95.675805
102,MIGUEL,Hidalgo Poniente,Oaxaca,Salina Cruz,Hidalgo Poniente,,,
103,MIGUEL,Morro de Mazatan,Oaxaca,Santo Domingo Tehuantepec,Morro de Mazatan,,,
104,MIGUEL,Calzada Teniente José Azueta,Oaxaca,Salina Cruz,San Pablo Norte,,16.172907,-95.201725
105,MIGUEL,Av. del Trabajo,Oaxaca,Salina Cruz,Barrio Espinal,Av. del Trabajo,16.184708,-95.198517
106,MIGUEL,Calle Venustiano Carranza,Oaxaca,Salina Cruz,San Pablo Sur,,16.172923,-95.205381
107,MIGUEL,Mercado Publico Independencia,Oaxaca,San Pedro Huilotepec,Centro,,16.244132,-95.152956
108,MIGUEL,Hugo Mayoral,Oaxaca,Salina Cruz,Hugo Mayoral,,,
109,MIGUEL,Barrio Nuevo,Oaxaca,Salina Cruz,Barrio Nuevo,,16.179255,-95.198141
110,MIGUEL,Calle la Bahía Ventosa,Oaxaca,Salina Cruz,La Soledad,,16.188723,-95.184264
111,MIGUEL,Calle Miahuatlán,Oaxaca,Salina Cruz,Col. Petrolera,,16.204591,-95.192439
112,MIGUEL,Unidad Deportiva Imss,Oaxaca,Salina Cruz,Deportiva Norte,,16.213851,-95.21112
113,MIGUEL,Av. Tampico,Oaxaca,Salina Cruz,1 de Mayo,Av. Tampico,,
114,MIGUEL,Santa Cruz Bamba,Oaxaca,Santa Cruz Bamba,Centro,,16.031679,-95.425597
115,MIGUEL,Calle Tehuantepec,Oaxaca,Salina Cruz,Porfirio Díaz,,,
116,MIGUEL,Av. Pipila,Oaxaca,Santo Domingo Tehuantepec,José López Portillo,Esquina Cuauhtémoc ,16.312414,-95.258371
117,MIGUEL,Av. Aquiles Serdán,Oaxaca,Santo Domingo Tehuantepec,Barrio Lieza,Esquina con Cuauhtémoc,16.331605,-95.240606
118,MIGUEL,Calle Morelos ,Oaxaca,Santa María Mexquitilla,Santa Maria Mixtequilla,Calle Morelos esquina Ignacio López Rayón,16.37548,-95.260041
119,MIGUEL,Avenida Juárez,Oaxaca,Santo Domingo Tehuantepec,Barrio Jalisco,Avenida Juárez,16.326824,-95.231374
120,MIGUEL,Iglesia de la Santa Cruz,Oaxaca,San Pedro Comitancillo,Centro,,16.491987,-95.160923
121,MIGUEL,Parque Garibaldi,Oaxaca,Ixtepec,Moderna,,16.556518,-95.095466
122,MIGUEL,Santo Domingo Chihuitán,Oaxaca,Santo Domingo Chihuitán,El Rosario,,16.591749,-95.162422
123,MIGUEL,Calle Morelos ,Oaxaca,Santa María Mexquitilla,Santa Maria Mixtequilla,"Calle Morelos esquina Ignacio López Rayón
Si no ubicas a la unidad ponte en contacto: mcano@ecoce.mx
800 847 7402 Ext.110",16.37548,-95.260041
124,MIGUEL,Jalapa del Marqués,Oaxaca,Jalapa del Marques,Centro,,,
125,MIGUEL,Calle Porfirio Diaz ,Oaxaca,Santo Domingo Tehuantepec,San Antonio Monterrey,Entre Francisco I. Madero ,16.246264,-95.191631
126,MIGUEL,Calle Juárez ,Oaxaca,Santo Domingo Tehuantepec,San Luis Rey,,16.380163,-95.240956
127,MIGUEL,Calle Coronel Francisco Cortez ,Oaxaca,San Blas Atempa,San Blas Atempa,Esquina Francisco I. Madero,16.325392,-95.221578
128,MIGUEL,Comedor Lucy,Oaxaca,Magdalena Tequisistlán,Centro,Calle Benito Juárez y del Beso,16.399994,-95.605087
129,MIGUEL,Las Pajimas,Oaxaca,Magdalena Tequisistlán,Las Pajimas,,,
130,MIGUEL,Calle Morelos ,Oaxaca,Santa María Mexquitilla,Santa Maria Mixtequilla,Calle Morelos esquina Ignacio López Rayón ,16.37548,-95.260041
131,MIGUEL,Rincón Moreno,Oaxaca,Santo Domingo Tehuantepec,Rincón Moreno,,16.229478,-95.312736
132,MIGUEL,Parque Municipal,Oaxaca,El Espinal,El Espinal,Cristóbal Colón y Benito Juárez,16.485541,-95.044025
133,MIGUEL,Ciudad Ixtepec,Oaxaca,Ixtepec,Ciudad Ixtepec,,16.556004,-95.095693
134,MIGUEL,Calle Ixtaltepec ,Oaxaca,Santo Domingo Tehuantepec,Centro,,,
135,MIGUEL,El Trópico,Oaxaca,San Juan Bautista Tuxtepec,El Trópico,,,
136,MIGUEL,El Naranjal,Oaxaca,San José Chiltepec,El Naranjal,,,
137,MIGUEL,Paso Nuevo la Hamaca,Oaxaca,Santa María Jacatepec,Paso Nuevo la Hamaca,,,
138,MIGUEL,El Arenal,Oaxaca,San Juan Bautista Valle Nacional,El Arenal,,,
139,MIGUEL,Comunidad Bethania,Oaxaca,San Juan Bautista Tuxtepec,Comunidad Bethania,,,
140,MIGUEL,Camarón Salsipuedes ,Oaxaca,San Juan Bautista Tuxtepec,Camarón Salsipuedes ,,18.108854,-96.202631
141,MIGUEL,Piedra Quemada,Oaxaca,San Juan Bautista Tuxtepec,Piedra Quemada,,,
142,MIGUEL,Comunidad Cerro Marín,Oaxaca,San Juan Bautista Valle Nacional,Cerro Marín,,,
143,MIGUEL,Comunidad Zacate Colorado,Oaxaca,San Juan Bautista Tuxtepec,Comunidad Zacate Colorado,,,
144,MIGUEL,Comunidad Chinantilla,Oaxaca,San Juan Bautista Valle Nacional,Comunidad Chinantilla,,,
145,MIGUEL,Comunidad Reforma,Oaxaca,San Juan Bautista Tuxtepec,Comunidad Reforma,,,
146,MIGUEL,Comunidad Vega del Sol,Oaxaca,Santa María Jacatepec,Comunidad Vega del Sol,,,
147,MIGUEL,Frente al COBAO 54 Tierra Negra,Oaxaca,San José Chiltepec,Tierra Negra,,17.95432,-96.163913
148,MIGUEL,Col. Centro,Oaxaca,San Juan Bautista Valle Nacional,Centro,,,
149,MIGUEL,Las Limas,Oaxaca,San Juan Bautista Tuxtepec,Las Limas,,18.069973,-96.124012
150,MIGUEL,Comunidad Nuevo Faisán,Oaxaca,San Juan Bautista Tuxtepec,Comunidad Nuevo Faisán,,,
151,MIGUEL,Camarón Salsipuedes ,Oaxaca,San Juan Bautista Tuxtepec,Camarón Salsipuedes ,,18.108854,-96.202631
152,MIGUEL,La Trinidad,Oaxaca,Santa María Jacatepec,La Trinidad,,,
153,MIGUEL,Comunidad Santa Sofía,Oaxaca,San José Chiltepec,Comunidad Santa Sofía,,,
154,MIGUEL,Comunidad de la Mina,Oaxaca,San Juan Bautista Tuxtepec,La Mina,,17.986081,-96.100046
155,MIGUEL,La Blanca,Oaxaca,Santo Domingo Ingenio ,La Blanca,,16.59386,-94.69302
156,MIGUEL,La Venta,Oaxaca,Juchitán de Zaragoza,La Venta,,16.57567,-94.81622
157,MIGUEL,El Porvenir,Oaxaca,San Miguel Chimalapa,El Porvenir,,17.472052,-95.25688
158,MIGUEL,Vista Hermosa,Oaxaca,San Miguel Chimalapa,Vista Hermosa,,16.667201,-94.784553
159,MIGUEL,San Miguel Chimalapa,Oaxaca,San Miguel Chimalapa,San Miguel Chimalapa,,16.479768,-94.83445
160,MIGUEL,Unión Hidalgo,Oaxaca,Unión Hidalgo,Centro,,16.479768,-94.83445
161,MIGUEL,Unión Hidalgo,Oaxaca,Unión Hidalgo,Centro,,16.479768,-94.83445
162,MIGUEL,Parque San Pedro Tepanatepec,Oaxaca,San Pedro Tapanatepec,Centro,,16.366816,-94.193928
163,MIGUEL,Rincón Juarez,Oaxaca,San Pedro Tapanatepec,Rincón Juarez,,16.280988,-94.354205
164,MIGUEL,Santo Domingo Ingenio ,Oaxaca,Santo Domingo Ingenio ,Centro,,16.584291,-94.769716
165,MIGUEL,Unión Hidalgo,Oaxaca,Unión Hidalgo,Centro,,16.479768,-94.83445
166,MIGUEL,San Dionisio del Mar,Oaxaca,San Dionisio del Mar,Centro,,16.323834,-94.756485
167,MIGUEL,Chicapa de Castro,Oaxaca,Juchitán de Zaragoza,Centro,,16.438594,-94.82276
168,MIGUEL,Asunción Ixtaltepec,Oaxaca,Asunción Ixtaltepec,Centro,,16.503403,-95.057636
169,MIGUEL,Boca del Monte,Oaxaca,San Juan Guachicovi,Boca del Monte,,17.061871,-95.017931
170,MIGUEL,Hidalgo Norte,Oaxaca,Matías Romero,Hidalgo Norte,,16.880214,-95.050076
171,MIGUEL,Asunción Ixtaltepec,Oaxaca,Asunción Ixtaltepec,Centro,,16.503403,-95.057636
172,MIGUEL,Colegio de Bachilleres del Estado de Oaxaca Plantel 40 Bajo de Chila T.M,Oaxaca,San Pedro Mixtepec Dtto-22,Centro,Av. Primero de Mayo s/n esq. carretera Costera,,
173,MIGUEL,Primaria Benito Juárez Tilzapote T.M.,Oaxaca,Santa María Tonameca,Tilzapote,Carretera Km. 1 Pochutla Col. Tilzapote C.P. 70946,,
174,MIGUEL,J.N. Mestizo Jean Piaget T.M. ,Oaxaca,Santa María Tonameca,Agua Blanca,Carretera Federal 200 Col. Agua Blanca C.P. 70944,,
175,MIGUEL,Primaria Vicente Guerrero T.M.,Oaxaca,Santa María Tonameca,Centro,"Carretera  Costera Puerto Escondido-Pochutla, colonia Centro. C.P. 70944",,
176,MIGUEL,Secundaria General Macedonio Alcalá T.M.,Oaxaca,Santa María Tonameca,Centro,"Las Azucenas s/n, colonia Centro",,
177,MIGUEL,Primaria Ignacio Mariscal T.M.,Oaxaca,Santa María Colotepec,Barra de Navidad,"Avenida Principal s/n, Colonia Barra de Navidad, C.P. 70934",,
178,MIGUEL,Primaria Francisco I. Madero T.M. (Tomatal),Oaxaca,Santa María Colotepec,El Tomatal,"Calle Centro s/n, Colonia El Tomatal, C.P. 70934",,
179,MIGUEL,Primaria Benjamín Bloom T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Fraccionamiento Bacocho,"Av. Tlacochahuaya Mz. IV-A lt1, Col. Fraccionamiento Bacocho, C.P. 71980",,
180,MIGUEL,J.N. María del Carmen Serdán (Barra) T.M.,Oaxaca,Santa María Colotepec,Barra de Navidad,"Calle Principal s/n, Colonia Barra de Navidad, C.P. 70934",,
181,MIGUEL,Primaria 1972 Año de Juárez T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Lázaro Cárdenas,"Avenida María Matamoros s/n, colonia Lázaro Cárdenas, Puerto Escondido, C.P. 71980",,
182,MIGUEL,Preparatoria Federal por Cooperación Puerto Escondido T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Sector Hidalgo,"Eje Hidalgo esquina con Quinta Poniente, colonia Sector Hidalgo. C.P. 71980",,
183,MIGUEL,Primaria Álvaro Carrillo Alarcón T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Fraccionamiento La Parota,"Ceiba s/n, colonia Fraccionamiento La Parota. C.P. 71980",,
184,MIGUEL,Primaria Lic. Adolfo López Mateos T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Centro,"Primera Poniente s/n, ColoniaCentro, C.P. 71980",,
185,MIGUEL,J.N. a Primaria Centro de Atención Múltiple 20 T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Fraccionamiento Agua Marina,"Agua Turquesa s/n, Colonia Fraccionamiento Agua Marina, C.P. 71980",,
186,MIGUEL,J.N Leyes de Reforma T.M,Oaxaca,San Pedro Mixtepec Dtto-22,Sector Reforma,3 Oriente y 5 Norte s/n Col. Sector Reforma C.P 71980,,
187,MIGUEL,Primaria Ignacio Manuel Altamirano T.M,Oaxaca,San Pedro Mixtepec Dtto-22,Sector Reforma,"Calle Principal s/n, Col. Sector Reforma C.P71980",,
188,MIGUEL,Secundaria Técnica 122 T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Barrio Bajo Bajos de Chila,1° de Mayo esq Flores Magon s/n Col. Barrio Bajo Bajos de Chila C.P 71996 ,,
189,MIGUEL,Primaria Fed. Antonio Caso T.M.,Oaxaca,San Pedro Mixtepec,Barrio Las Flores Bajos de Chila,2 de Abril s/n Col. Barrio Las Flores Bajos de Chila C.P 71981 ,,
190,MIGUEL,Secundaria  Técnica 174 T.M.,Oaxaca,San Pedro Mixtepec Distrito 26,Fracc. Rinconada,Blvrd. Del Pacifico s/n Fracc. Rinconada C.P 71983 ,,
191,MIGUEL,J.N Colegio Leona Vicario T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Granjas,Oceano Pacifico s/n Col. Granjas C.P 71984  ,,
192,MIGUEL,Primaria Juan Rulfo T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Granjas del Pescador,Oceano Pacifico s/n Col. Granjas del Pescador C.P 71980 ,,
193,MIGUEL,CBTIS 240 T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Aeropuerto,Raul Gonzalez esq. Nuevo Leon s/n Col. Aeropuerto C.P 71980 ,,
194,MIGUEL,Primaria Octavio Paz T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Aeropuerto,5 de febrero 305 Col. Aeropuerto C.P 71980 ,,
195,MIGUEL,COBAO 66 T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Lomas de San Pedro,Lomas de San Pedro s/n  Col. Lomas de San Pedro  C.P 71980 ,,
196,MIGUEL,J.N Emiliano Zapata  T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Las Flores,Claveles s/n Col. Las Flores C.P 71980 ,,
197,MIGUEL,Secundaria Técnica 210 T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Aeropuerto,Emiliano Zapata s/n Col. Aeropuerto C.P 71980 ,,
198,MIGUEL,Primaria 21 de Marzo T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Reforma,1 norte y 12 oriente s/n Col. Reforma C. C.P 71980,,
199,MIGUEL,Secundaria General Lucio Cabañas T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,San Miguel,Camino a la Union s/n Col. San Miguel C.P 71980 ,,
200,MIGUEL,J.N Niños Héroes T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Benito Juarez,Av Cuauhtemoc s/n Col.  Benito Juarez C.P 71980,,
201,MIGUEL,Primaria General Vicente Guerrero T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Arroyo seco,Mar Mediterraneo 400 Col. Arroyo seco C.P 71980,,
202,MIGUEL,J.N Itzcoatl T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Libertad,Conocida s/n Col. Libertad C.P 71980,,
203,MIGUEL,J.N Fernando Montes de Oca T.M.,Oaxaca,Santa María Colotepec,La Quebradora,Av Rio de la Bomba s/n Col. La Quebradora C.P 70938 ,,
204,MIGUEL,Primaria  20 de noviembre T.M.,Oaxaca,Santa María Colotepec,Emiliano Zapata,20 de noviembre s/n Col. Emiliano Zapata C.P 70938,,
205,MIGUEL,Preparatoria 2 de Octubre T.M.,Oaxaca,San Gabriel Mixtepec,Barrio Municipal,Andador Justo Sierra s/n Col. Barrio Municipal C.P 71980,,
206,MIGUEL,Secundaria Técnica 136 San Gabriel T.M.,Oaxaca,San Gabriel Mixtepec,Bosque,Calzada Ayuntamiento 80 Col. Bosque C.P 71980,,
207,MIGUEL,CECYTE Plantel 37 T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Bosque,Ayuntamiento 80 Col. Bosque C.P 71980,,
208,MIGUEL,J.N Ignacio Manuel Altamirano T.M.,Oaxaca,San Gabriel Mixtepec,Hidalgo,Ayuntamiento s/n Col. Hidalgo C.P 71980  ,,
209,MIGUEL,J.N Lazaro Cardenas T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Barrio Las Flores,Melchor Ocampo s/n Col. Barrio Las Flores   C.P 71981 ,,
210,MIGUEL,Secundaria Centro Educativo Manantial T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Centro,1 norte y 4 oriente s/n Col. Centro C.P ,,
211,MIGUEL,Primaria José Maria Morelos  T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Las Flores,Dalias s/n Col. Las Flores  C.P 71980,,
