ESTADO,MUNICIPIO,RAZÓN SOCIAL,DIRECCIÓN,COORDENADAS,,"HORARIO
",TELEFONO,PÁG WEB,"REDES
FB",CORREO,PET,PEAD,PP (ENVASE),PP (TAPAS),PP (CAPSULAS),PEBD (BOLSA TRANSPARENTE) ,BOPP (LAMINADA),ALUMINIO,HOJALATA,CARTON LAMINADO,VIDRIO
Aguascalientes,Aguascalientes,Chatafierros San Pedro,"Av. Mahatma Gandhi No. 703 Col. San Pedro, CP. 20280
Aguascalientes, Ags.","21.841292
",-102.293831,"Lunes a viernes 09:00 am - 06:00 pm
Sabado 09:00 am - 03:00 pm", 449 917 1715,www.chatafierrosanpedro.com.mx,,chatafierrosanpedro@hotmail.com,Si,Si,,,,,, $	13.00 , $	2.50 ,,
Aguascalientes,Aguascalientes,Recicladora Santibañez - Reciplags ,"Mayor Pablo García, San Pedro, CP. 20280
Aguascalientes, Ags.","21.841552
",-102.297214,,449 242 7007,,,,Si,SI,,,,,,Si,Si,,
Aguascalientes,Aguascalientes,Dicsa,"Juan Carlos 114, Parque Industrial Siglo XXI, CP. 20283
Aguascalientes, Ags.","21.801860
",-102.287859,,449 929 5032,,,contacto@dicsaonline.com.mx,Si,,,,,,,,,,
Aguascalientes,Rincón de Romos,Chatarra Rincó de Romos,"Independencia, CP. 20410
Rincón de Romos, Ags.","22.223668
",-102.316588,,,,,,Si,Si,,,,,,Si,Si,,
Baja California,Ensenada ,"Centro de Acopio de Materiales Reciclables
","Camino Vecinal a Gómez Morin s/n, Colonia Gómez Morin, s/n.
Ensenada, B.C.",31.883831239029714,-116.53962565218427,"Lunes a viernes de 7:30 am a 04:30 pm
Sabados de 08:00 am a 3:00 pm","646 156 3242
646 149 0929",,,camrec@hotmail.com, $	1.50 ,SI,,,, $	0.50 ,, $	22.40 , $	2.81 ,,
Baja California,Ensenada ,Recicladora Villanueva,"Av. Guadalupe & Calle Octava, Obrera
Ensenada, B.C.","31.866599
",-116.612472,"Lunes a viernes 09:30 am - 06:30 pm 
Sabado 09:30 am - 06:30 pm",,,,,Si,Si,,,,,,Si,Si,,
Baja California,Mexicali,Mexicali Ambiental,"Carretera Mexicali a San Felipe Km. 2, S/N, Colonia División 2, CP. 21399
Mexicali, B.C.","32.586098
",-115.428693,,686 561 6404,https://www.mexicali-ambiental.com/,,contacto@mexicali-ambiental.com,Mayoreo,Mayoreo,,,,,,Mayoreo,Mayoreo,,
Baja California,Mexicali, Universal Recycling S. De R.L. De C.V.,"Carretera Sn. Felipe Km 3.5 s/n, Col. Gonzalez Ortega
Mexicali, B.C.","32.584666
",-115.428472,,686 561 8333,,,jmedina@urmexicali.com,SI,"$4.50 multi
$6.00 lechero
$2.5 verde",,,,$3.50 limpia,,,,,
Baja California,Mexicali,Recicladora Flores Magón,"Col. Reacomodo San Fernando carretera ahumadita km 1.3 C.P 21297
Mexicali, B.C.",32.599154,-115.520818,,"686 125 0998 
686 688 0972",,,rbc.mexicali@gmail.com, $	4.20 , $	4.10 ,,,,,, $	16.00 , $	2.20 ,,
Baja California,Tecate,Centro de acopio Neto´s,"Lerdo González 346-334, Militar, CP. 21470
Tecate, B.C.",32.568806,-116.620694,,"665 521 2886
665 654 1883 ",,,centroacopionetos@prodigy.net.mx,Si,,,,,,,Si,,,
Baja California,Tijuana,"Sociedad Ecológica y Humanista Responsable, A.C. (SEHR)","Privada de Los Alpes 6270-6210, Castillo, CP. 22050
Tijuana, B.C.",32.536966,-117.059690,,664 412 0292,,,,Si,,,,,,,,,,
Baja California,Tijuana,Glezco Plasticos,"Sebastián Vizcaíno 416, Colonia, Garita Internacional, Garita de Otay, CP. 22430
Tijuana, B.C.","32.549724
",-116.941166,,664 647 5134,http://glezcocorp.com.mx/,,,Si,Si,Si,,,,,Si,Si,,
Baja California,Tijuana,La Cartonera ,"9 Sur No. 126 Ciudad Industrial, Mesa de Otay
Tijuana, B.C.","32.534956
",-116.921455,,"664 607 29 56
664 375 14 33 
664 607 26 97 ",,,"facturacionlacartonera@hotmail.com 
lacartoneramo@gmail.com",$4.50 mixto,"$8.5 lechero
$2.20 Mixto",,,,,, $	20.50 ,,,
Baja California Sur,Comondú,Recicladora Soto,"Esquina Álvaro Obregón y Adolfo López Mateos CP. 23670 Cd Constitución
Comondú, B.C.S.",25.037850684005402,-111.66292478958961,,613 132 2363,,,,Si,,,,,,,,,,
Baja California Sur,Comondú,Compra de reciclables,"Lic. Francisco Pelayo López, Centro, Cd Constitución, B.C.S.",25.021917724743396,-111.66751277688611,,613 116 8940,,,,Si,Si,,,,,,Si,Si,,
Baja California Sur,La Paz  ,Centro de Reciclaje La Paz S de R.L de C.V.,"Arenal 98, El Progreso, CP. 23084
La Paz, B.C.S.
","24.082868
",-110.304473,,"624 177 4013
612 153 1673",,,,"$1.50 revuelto 
$2.00 solo
", $	1.00 ,,,,,,, $	0.80 ,,
Baja California Sur,La Paz  ,Reciclaje,"Dorado Manzana 11, Tierra Blanca, 23940 La Paz, B.C.S.",24.092017,-110.310588,,,,,,Si,,,,,,,,,,
Campeche,Campeche,Chatarreria Peña,"Av Alvaro Obregón N. 262
Campeche, Camp.","19.846415
",-90.497231,,"981 117 0218 
981 815 0379",,,"danielesballo@gmail.com
carl83ballo@gmail.com
",4.8 mixto,,,,,$3.00 limpia,, $	17.00 , $	3.50 ,,
Campeche,Carmen,Recicladora MG,"Carretera Cd. Del Carmen a Isala Aguada . Fraccionamiento San Joaquín, CP. 24157
Carmen, Camp.",18.659034,-91.773477,Lunes a Viernes 08:00 am - 04:00 pm ,938 110 8533,,Recicladora Mg,reciclados.mg@hotmail.com,Si,,,,,,,Si,Si,,
Campeche,Campeche,Chatarreria el Oso,"Calle 15, El Carmelo, CP. 24075
Campeche, Camp.","19.838140
",-90.507286,,981 169 3504,,,,Si,,,,,,,Si,Si,,
Campeche,Campeche,Recicladora Giles," 20 de Noviembre 1, Esperanza
Campeche, Camp.","19.843295
",-90.501599,Lunes a Viernes 07:00  am - 05:00pm,"981 129 1723
981 815 4391",,,,Si,,,,,,, $	16.00 ,Si,,
Campeche,Campeche,Los Amigos,"Antigua Campeche-mérida 349, Fátima, CP. 24083
Campeche, Camp.",19.847280,-90.495420,,981 751 1781,,,,Si,Si,,,,,,Si,Si,,
Campeche,Campeche,Patricia Espinola Navarro,"Calle 12 entre 19 y 21, número 242, colonia Samula
Campeche, Camp.","19.816622
",-90.550070,,"981 160 1045 
ext. 46",,,pajomajoaz@hotmail.com,SI,Si,,,,,, $	20.00 , $	3.00 ,,
Campeche,Campeche,Wilbert Escalante,"Calle 12, Barrio de San Francisco
Campeche, Camp.","19.849347
",-90.526839,,"981 139 7948
981 144 8666",,,, $	4.50 , $	0.80 ,,,,,,,,,
Campeche,Campeche,Depósito San Joaquín,"Calle 114 34, San Joaquín
Campeche, Camp.","19.847143
",-90.509238,,981 815 2466,,,, $	4.50 , $	1.20 ,,,,,,,,,
Campeche,Campeche,Recuperadora de Cartón del Sureste y Centroamerica,"Antigua Campeche-mérida 282A, Barrio de Sta Lucía, CP. 24083 
Campeche, Camp.","19.847214
",-90.494957,,"981 815 0107
981 170 4340",http://recoveryocc.com/,,marco.piste@recoveryocc.com,Si,Si,,,,,,Si,Si,,
Campeche,Carmen,Centro de Acopio El Pionero,"Calle 16 de Septiembre Manzana 20 Lote 19, Santa Rosalía, CP. 24197
Cd del Carmen, Camp.",18.655958755386884,-91.80998295959762,,"938 122 7427
938 144 7932",,,recic_maza@hotmail.com,Si,Si,,,,,,Si,Si,,
Campeche,Carmen,Recicladora Núñez,"Nardos 30, Boquerón del Palmar
Cd del Carmen, Camp.",18.657946541058347,-91.80035312100878,,938 135 0387,,,,Si,Si,,,,,,Si,Si,,
CDMX,Alvaro Obregón,Centro de reciclaje - Camino Real,"Camino Real a Toluca 64, Bellavista, CP. 01140
Álvaro Obregón, CDMX.",19.395931857293064,-99.19369118463813,"Lunes a viernes de 08:00 am - 06:00 pm
Sabado 08:00 am - 03:30 pm",,,,,Si,Si,,,,,,SI,Si,,
CDMX,Alvaro Obregón,Recicladora Sebastian Marin,Alvaro Obregon. Recolección a domicilio,,,,"557 191 3350
553 705 5055",,https://www.facebook.com/Metales98,thedrees7@gmail.com,Si,,,,,,,Si,,,
CDMX,Alvaro Obregón,Reciclaje Rodríguez,"Calz. Desierto de los Leones 4484, Lomas de los Ángeles Tetelpan, CP. 01790
Álvaro Obregón, CDMX.",19.343371711713626,-99.21366755975008,"Lunes a viernes 09:00 am - 07:00 pm
Sabado  09:00 am - 12:00 pm",,,,, $	3.00 ,Si,,,,,,Si,Si,,
CDMX,Alvaro Obregón,Depósito de Materiales Reciclables Los Gallos / Amigos del Medio Ambiente,"Río Becerra 6, Minas de Cristo, CP. 01419
Álvaro Obregón, CDMX.",19.381883360782574,-99.20033898637149,Lunes a viernes 09:00 am - 06:00 pm,555 598 2222,,"Carlos, 
Maribel 
Carta de buen destino ",depositolosgallos@yahoo.com.mx, $	2.00 ,,,,,,,Si,Si,,"Si, entero y solo envases"
CDMX,Alvaro Obregón,Reciclables el Parque,"Calle 5 N. 82 Colonia Olivar del Conde. 1ra Secc, CP. 01400
Álvaro Obregón, CDMX",19.373991487334877,-99.20463557628275,,556 818 3539,,,"jessie253@gmail.com
",Si,Si,,,,,, $	24.00 ,Si,Si,
CDMX,Alvaro Obregón,Compra de reciclables Leo,"Av. Del Rosal, Olivar del Conde 1ra Secc, n. 253, CP. 01400
Álvaro Obregón, CDMX.",19.37299214781909,-99.20551869685353,,"551 324 6792
555 680 4024",,,,Si,Si,,,,,,Si,Si, $	1.00 , $	0.90 
CDMX,Alvaro Obregón,Los caza metales / Mexider,"Av. Sta. Lucia 306, Olivar del Conde 1ra Secc,CP. 01400
Alvaro Obregón, CDMX.","19.372373
",-99.210689,,"555 664 4366
551 803 8748",,,vivicastillorobles@outlook.com, $	4.50 ,Si,,,,,, $	16.00 ,Si,, $	0.50 
CDMX,Alvaro Obregón,Compra de reciclables Alcala San Antonio,"Río Becerra 133, Sacramento, CP. 01420
Álvaro Obregón, CDMX",19.383322803712513,-99.19403250802405,"Lunes a viernes 08:00 - 05:00 pm
Sábado  08:00 am - 05:00 pm",553 220 2026,,,,Si,Si,,,,,,Si,Si,,
CDMX,Alvaro Obregón,Biobox Mega Soriana San Jerónimo,"Av. San Jerónimo 630 630, Col. San Jerónimo Lídice, C.P. 10200
Álvaro Obregón, CDMX.",19.327701528022853,-99.21939924847538,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Alvaro Obregón,Compra de metales,"Av. Tamaulipas 2016B, Pueblo de Sta Lucía CP. 15000
Álvaro Obregón, CDMX.","19.360923
",-99.251615,,555 400 7503,,,,Si,,,,,,,Si,,,
CDMX,Alvaro Obregón,Unión de recicladores del sur-poniente ,"Flor del Campo 22, Torres de Potrero, CP. 01840
Álvaro Obregón, CDMX.",19.329491740193717,-99.25485588229542,,"554 472 1540
554 708 9912",,,, $	5.00 ,Si,,,,,, $	15.00 ,Si,,
CDMX,Azcapotzalco,Alcamare S. de R.L. de C.V. /Autocentro de acopio menudeo International Recycling Group,"Cda. de las Granjas 89, El Jaguey, CP. 02510
Azcapotzalco, CDMX.",19.4887680245428,-99.17313755915204,"Lunes a viernes 08:00 am - 05:00 pm
Sabado 08:00 am - 01:00 pm","555 352 0370
552 253 8065",alcamare.com,Alcamare Recycled Poymers,"ventas@alcamare.com
ventas2@alcamare.com
mkpetraul@gmail.com",Si, $	6.20 ,,,,,,Si,Si,SI,
CDMX,Azcapotzalco,Recicladora Andrapox,"José F. Gutiérrez, Ángel Zimbrón, CP. 02099
Azcapotzalco, CDMX",19.46434200131538,-99.1892048996016,,"55 130 43070
55 274 96 572
55 968 89653",,Recicladora Andrapox,"recicla.andrapox@gmail.com
contacto@andrapox.com.mx",Si,Si,,,,,,Si,Si,,
CDMX,Azcapotzalco,Recicladora Macias,"Av. Antonio Valeriano y esquina Prolongación Naranjo Col del Gas, CP. 02970
Azcapotzalco, CDMX.",19.46839592496006,-99.15523285107331,,,,,, $	5.00 ,Si,,,,,,,,,
CDMX,Azcapotzalco,Compra de Chatarra,"Cda. Cahuacaltzingo 33, Las Salinas, CP. 02360
Azcapotzalco, CDMX.",19.48918092581934,-99.16686306751726,,,,,, $	4.00 ,,,,,Playo,,Si,Si,,
CDMX,Azcapotzalco,Los Metalitos,"Nte. 50, Las Salinas, CP. 02360
Azcapotzalco, CDMX.",19.489205148213475,-99.16659856046654,,,,,, $	4.00 ,,,,,Playo,,Si,Si,,
CDMX,Azcapotzalco,Reciclados Tellez,"Nte. 59 47A, Las Salinas, 02360
Azcapotzalco, CDMX.",19.488531,-99.167013,"Lunes a viernes 09:00 am - 05:00 pm
sabado 09:00 am - 05:00 pm",55 5368 7558,,,,Si,,,,,,,,,,
CDMX,Azcapotzalco,Reciclados 59,"Nte. 59 725, Las Salinas, CP. 02360
Azcapotzalco, CDMX.",19.48757302955574,-99.16702534054667,,,,,, $	5.00 ,,,,,,, $	14.50 ,Si,,
CDMX,Azcapotzalco,Reciclados Fortuna,"Nte. 59 807, Las Salinas, CP. 02360
Azcapotzalco, CDMX",19.489101794537156,-99.16669847276631,,,,,, $	4.00 ,,,,,Playo,,Si,Si,,
CDMX,Azcapotzalco,Se compra cartón y papel ,"Av. 22 de Febrero 33, Los Reyes, CP. 02010
Azcapotzalco, CDMX.",19.485416181491598,-99.18263364501527,"Lunes a viernes 09:00 am - 07:00 pm
sabado 09:00 am - 03:00 pm",,,,, $	5.00 ,,,,,,, $	12.00 ,,,
CDMX,Azcapotzalco,Recicladora de Electrónicos y Papel ,"Jose Fco.Gutierrez 334-A Col. Nextengo Azcapotzalco CP. 02070
Azcapotzalco, CDMX.",19.471653024657943,-99.18737716648667,,556 012 0188,,Recicladora de Electrónicos y Papel,recicladoramadison@hotmail.com, $	4.00 ,,,,,,,Si,,,
CDMX,Azcapotzalco,Depósito Rodriguez,"Antigua Calz. de Guadalupe 33-203, San Marcos, CP. 02020
Azcapotzalco, CDMX",19.489344826328512,-99.18223988596041,,,,,,Si,Si,,,,,,Si,Si,,
CDMX,Azcapotzalco,Compra de reciclaje,"Av. Tezozomoc 40, San Miguel Amantla, CP. 02700
Azcapotzalco, CDMX. ",19.474711323464167,-99.2009241804496,"Lunes a viernes 09:00 am - 06:00 pm
sabado 09:00 am - 03:00 pm",,,,,Si,,,,,,, $	14.00 ,Si,,
CDMX,Azcapotzalco,Reciclaje,"Leopoldo Blakaller, Calz de la Naranja 1039, San Pedro Xalpa CP. 02719
Azcapotzalco, CDMX.",19.47462320048845,-99.21942467791233,"Lunes a viernes 09:00 am - 06:00 pm
sabado 09:00 am - 01:00 pm",,,,,Si,,,,,,,Si,Si,,
CDMX,Azcapotzalco,Recicladora Mansilla,"Av. Aquiles Serdán 256, Santo Domingo, CP. 02160
Azcapotzalco, CDMX.",19.48685173219996,-99.19155512644458,,55 2744 7235,,,, $	6.50 ,,,,,,, $	16.50 , $	3.00 ,,
CDMX,Azcapotzalco,Depósito de Desperdicios Industriales,"Av. Aquiles Serdán 1205, Tierra Nueva CP. 02130
Azcapotzalco, CDMX.",19.499402335331464,-99.2020781762457,,,,,, $	4.50 ,,,,,,, $	18.00 ,,,
CDMX,Benito Juárez,Biobox Universidad Bisquets,"Av. Universidad 319, Col. Narvarte Poniente, C.P. 03020
Benito Juárez, CDMX.",19.388166892922207,-99.15385692194833,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Benito Juárez,Centro de Reciclado ,"Av. Coyoacán 333, código 2, Col del Valle Centro, CP. CP. 03100
Benito Juárez, CDMX.",19.39376908623604,-99.16639485389426,"Lunes a viernes 09:00 am - 06:00 pm
Sabado  09:00 am - 06:00 pm",55 3016 4099,,,,Si, $	3.00 ,,,,,,Si, $	1.00 ,,
CDMX,Benito Juárez,Biobox Parque Ortiz Rubio ,"Parque Ortiz Rubio (Gabriel Mancera y Félix Cuevas) n/a, Col. Del Valle Centro, C.P. 03100, Benito Juárez, CDMX",19.371218,-99.167978,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Benito Juárez,Biobox División del Norte,"Pedro Romero de Terreros, código 2, Col del Valle Nte, CP. 03103.
Benito Juárez, CDMX.",19.39535999325781,-99.1685624863206,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Benito Juárez,Centros de reciclaje Recupera,"Pilares 129, Col del Valle Sur, CP. 03100 
Benito Juárez, CDMX",19.378627308424754,-99.16988862967361,"Lunes a viernes 09:00 am - 06:00 pm
sabado 09:00 am - 01:00 pm","555 661 1776
555 661 4985",https://www.recuperamexico.com/centros_reciclaje/index.html,Recupera Reciclaje,"m.contreras@recuperamexico.com
cmcbabl@yahoo.com.mx",Si,Si,,,,,,Si,Si,,Si
CDMX,Benito Juárez,Biobox Parque de los Venados,"Parque de los Venados (Av. División del Norte) n/a, Col. Letrán Valle, C.P. 03310
Benito Juárez, CDMX",19.373750066409816,-99.15752084316568,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Benito Juárez,Biobox Parque Esparza,"Parque Alfonso Esparza Oteo equina calle Nueva York y Georgia n/a, Col. Nápoles, C.P. 03810
Benito Juárez, CDMX.",19.38936600807313,-99.17647588919901,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Benito Juárez,Biobox Antonio y Xola,"Diagonal San Antonio y Xola n/a, Col. Narvarte, C.P. 03020.
Benito Juárez, CDMX",19.395558334625974,-99.15655752521826,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Benito Juárez,Biobox Eugenia - Universidad,"Eugenia 1416 esquina Universidad n/a, Col. Narvarte Poniente, C.P. 03600, 
Benito Juárez, CDMX.",19.38488692515949,-99.15579837375785,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Benito Juárez,Biobox Parque Hundido,"Av Porfirio Díaz 369, Noche Buena, CP. 03720 
Benito Juárez, CDMX",19.379976716755554,-99.17707910802316,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Benito Juárez,Biobox San Antonio,"Av. San Antonio, Nonoalco, CP. 03700
Benito Juárez, CDMX",19.38500484503061,-99.18672370106582,"Lunes a viernes 07:00 am - 09:00 pm
Sabado 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Benito Juárez,Biobox Mundial y Monterrey ,"C. Juan Sánchez Azcona, Piedad Narvarte, CP. 03000
Benito Juárez, CDMX,",19.40172428339737,-99.15993720974815,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Benito Juárez,Reci-Club,"Casi esquina Correspondencia, Simón Bolívar 146 Local B, Postal, CP. 03410
Benito Juarez, CDMX.",19.392489297515457,-99.14439877604764,,557 885 5131,https://www.reciclub.mx/,Reci-Club,recicluber@gmail.com,Cristal,Si,Si,,,,,Si,Si,SI,Si
CDMX,Benito Juárez,ImuRecicla,"Calz. de Tlalpan, Postal, , CP. 03410
Benito Juárez, CDMX.",19.389483,-99.138786,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
CDMX,Benito Juárez,Centros de reciclaje Recupera,"Av. San Antonio 202, Col. San Pedro de los Pinos, CP. 03800
Benito Juárez, CDMX.",19.385431525155266,-99.1849415324295,"Lunes a viernes 09:00 am - 06:00 pm
sabado 09:00 am - 01:00 pm","555 661 1776
555 661 4985",https://www.recuperamexico.com/centros_reciclaje/index.html,"Recupera Reciclaje
",m.contreras@recuperamexico.com,Si,Si,,,,,,Si,Si,Si, $	0.20 
CDMX,Benito Juárez,Biobox Plaza Universidad,"Av. Universidad y Av. Popocatépetl Col. Santa Cruz Atoyac, C.P. 03310
Benito Juárez, CDMX.",19.366415606929948,-99.16742022958653,"Lunes a viernes 07:00 am - 09:00 pm
Sabado y Domingo 07:00 am - 09:00 pm",,,,,Si,,,,,,,Si,,,
