ESTADO,MUNICIPIO,RAZÓN SOCIAL,DIRECCIÓN,MAPA,COORDENADAS,,"HORARIO
",TELEFONO,PÁG WEB,"REDES
FB",CORREO,PET,PEAD,PP (ENVASE),PP (TAPAS),PP (CAPSULAS),PEBD (BOLSA TRANSPARENTE) ,BOPP (LAMINADA),ALUMINIO,HOJALATA,CARTON LAMINADO,CARTÓN,VIDRIO,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Majose Recicladora S.A de C.V,"Jesús María Romo 121, Cd Industrial, CP. 20290
Aguascalientes, Ags.","https://www.google.com/maps/place/Majosa+Recicladora/@21.851001,-102.3183446,13z/data=!4m8!1m2!2m1!1srecicladora+aguascalientes!3m4!1s0x0:0x522c343a9ca54903!8m2!3d21.8313349!4d-102.2842491",21.8314688253123,-102.284263798508,,"449 971 1167
449 200 7190",http://espmajose.weebly.com/nosotros.html,,"maldana@majoserecicladora.com
hpadilla@majoserecicladora.com",Si,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,"Poliestireno del Centro, S.A. de C.V.","
Salida Carrillo Km 10. Morelos 110, Int.2, Zona Centro, 
Aguascalientes, Ags.","https://www.google.com/maps/place/Poliestireno+Del+Centro+Sa+De+Cv/@21.881178,-102.2968147,17z/data=!3m1!4b1!4m5!3m4!1s0x8429ee829aa54b1b:0x170dc4863c930116!8m2!3d21.881178!4d-102.294626",21.881177,-102.294619,,449 918 3394,http://www.policen.com.mx/,,"dsanchez@policen.com.mx
saguilar@policen.com.mx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Chatarreria Los Negritos,"Blvd. Lic. Adolfo Ruiz Cortines 908, Desarrollo Especial el Alba, CP. 20310
Aguascalientes, Ags.","https://www.google.com/maps/place/21%C2%B052'19.2%22N+102%C2%B019'41.9%22W/@21.871993,-102.3294073,18z/data=!3m1!4b1!4m9!1m2!2m1!1scompra+de+fierro+viejo+en+aguascalientes!3m5!1s0x0:0x0!7e2!8m2!3d21.871993!4d-102.3283132",21.872048,-102.32849,,449 976 4141,,,,,,,,,,,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Grupo Ferroso Lira ,"Av. San Gabriel 145-A, El Rocío, CP. 20190
Aguascalientes, Ags.","https://www.google.com/maps/place/Grupo+Ferroso+Lira+S.+de+R.L.+de+C.V./@21.8776083,-102.2360216,17z/data=!4m5!3m4!1s0x8429f2026511328b:0x941cc5595df9ea0d!8m2!3d21.877409!4d-102.2358821",21.877439,-102.235914,,449 140 0868,http://grupoferrosolira.com/,Grupo Ferroso Lira,ferrolis.ags@hotmail.com,Si,,,,,,,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Chatarrera Los Pájaros,"José Guadalupe Posada 833, Barrio de Guadalupe, CP. 20059
Aguascalientes, Ags.","https://www.google.com/maps/place/Chatarrera+Los+P%C3%A1jaros+Caidos/@21.8858124,-102.3074344,17z/data=!4m8!1m2!2m1!1sRecicladora+aguascalientes!3m4!1s0x8429ee8eb94b361d:0xde0c94d4d7947f8c!8m2!3d21.8858219!4d-102.307377",21.885821,-102.307381,,,,,,Si,Si,,,,,,Si,Si,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Se compra PET,"Av. Eugenio Benavides 101, Insurgentes, CP. 20287
Aguascalientes, Ags.","https://www.google.com/maps/place/Se+Compra+Pet/@21.8531378,-102.3091353,3a,75y,204.94h,90.51t/data=!3m6!1e1!3m4!1sIHBcboefc0rbklA8QqlErQ!2e0!7i16384!8i8192!4m13!1m7!3m6!1s0x8429ec30ded5b00d:0x9e95bf16aa421135!2sGral.+Eugenio+Aguirre+Benavides+101,+Insurgentes,+20287+Aguascalientes,+Ags.!3b1!8m2!3d21.8527867!4d-102.3093552!3m4!1s0x8429ec30df0efef3:0x8ef6b855b8a93872!8m2!3d21.8529269!4d-102.3092899",21.852931,-102.309285,,,,,,Si,Si,,,,,,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Protoss Metales,"Blv Chimecos 2900 Col. Jesus Maria, CP. 20900
Aguascalientes, Ags.","https://www.google.com/maps/place/Tequila+Ceramics/@21.9920244,-102.3336761,664m/data=!3m1!1e3!4m12!1m6!3m5!1s0x8429e5c370072f05:0x78bd59ff07cc58b5!2sLos+Macias+Primos+Cumbia!8m2!3d21.989848!4d-102.332762!3m4!1s0x8429e5c4c28e816d:0x1b2e9dd1cdfcdb2c!8m2!3d21.9925772!4d-102.3335682","21.992074
",-102.333547,,449 238 3979,WWW.PROTOSSMETALES.COM,, servicios@protossmetales.com,,,,,,,,Si,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Recicladora Valdez,"Av. Aguascalientes Pte. 605, La España, 20210 Aguascalientes, Ags.","https://www.google.com.mx/maps/place/Recolectora+de+Materiales+Reciclables/@21.8636423,-102.3174934,18z/data=!4m8!1m2!2m1!1scentro+de+reciclables+aguascalientes!3m4!1s0x8429ec26b2d7593d:0x2726ec3032bd998d!8m2!3d21.863664!4d-102.317712","21.863640
",-102.317799,,,,,,Si,,,,,,,Si,Si,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,"Reciclayser, S.A de C.V","Av. Aguascalientes Pte. 704, La España, CP. 20210 
Aguascalientes, Ags.","https://www.google.com/maps/place/Reciclayser,+S.A.+de+C.V./@21.8608599,-102.3166896,20z/data=!4m8!1m2!2m1!1sRecicladora+aguascalientes!3m4!1s0x8429eeec9aebde2f:0x3b6f560b2b7b46d1!8m2!3d21.860938!4d-102.3166198","21.860912
",-102.316669,,449 913 3304,,,reciclayser@gmail.com,Si,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Recicladora Andrade,"Navarra 114, La España, CP. 20210
Aguascalientes, Ags.","https://www.google.com/maps/place/Recicladora+Andrade/@21.833784,-102.0061771,11z/data=!4m8!1m2!2m1!1sRecicladora+aguascalientes!3m4!1s0x8429ed4ab3a41d9b:0xf395fc7a4be1051e!8m2!3d21.86251!4d-102.3129944","21.862515
",-102.313031,,449 913 3424,,,,Si,,,,,Si,,Si,Si,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Centro de acopio Materiales Reciclables,"Av 99-A esquina con Lira, Av. Paseo de La Solidaridad 99-A, La Estrella, CP. 20150
Aguascalientes, Ags.","https://www.google.com/maps/place/CENTRO+DE+ACOPIO+DE+MATERIALES+RECICLABLES/@0,-102.28313,3z/data=!4m8!1m2!2m1!1sRecicladora+aguascalientes!3m4!1s0x8429ee468395c91d:0xa000d06f147a98fb!8m2!3d21.903004!4d-102.28313",21.903003,-102.283145,,,,,,Si,,,,,,,Si,Si,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Recicladora Valpe,"San Luis Potosi - Aguascalientes 1456, La Hacienda, 20263 Aguascalientes, Ags.","https://www.google.com/maps/place/recicladora+valpe/@21.8634691,-102.2326769,13z/data=!4m8!1m2!2m1!1sRecicladora+aguascalientes!3m4!1s0x8429f2181d153967:0x70f6cb74999b143d!8m2!3d21.8633912!4d-102.2327162",21.863389,-102.232692,"Lunes a viernes 08:00 a 06:00
Sabados 08:00 - 02:00 pm",449 974 0457,https://recicladora-valpe.webnode.mx/,Recicladora Valpe,diegovaldezp@hotmail.com,Si,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Punto Limpio - Parque Hidalgo,"Calle J. Refugio Velazco 40, De La Purísima, CP. 20259
Aguascalientes, Ags.","https://www.google.com/maps/place/21%C2%B052'50.9%22N+102%C2%B017'02.7%22W/@21.880794,-102.2862687,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d21.880794!4d-102.28408",21.880794,-102.28408,Lunes a Domingo 08:00 am - 03:00 pm,,,,,Si,Si,,,,,,Si,Si,Si,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Las Hadas,"Av. Heroe de Nacozari 2607, Las Hadas, CP. 20140
Aguascalientes, Ags.","https://www.google.com/maps/place/LAS+HADAS/@21.907611,-102.2900927,17z/data=!4m8!1m2!2m1!1sRecicladora+aguascalientes!3m4!1s0x0:0xcac783fe49778c8b!8m2!3d21.9071525!4d-102.2900272","21.907492
",-102.289927,"Lunes a Viernes 08:30 am -06:30 pm
Sabado 08:30 am -02:00 pm","449 890 6949
449 912 0284",,,,,,,,,,,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Hidromesa ,"Av. Mahatma Gandhi 109, Martínez Domínguez, CP. 20280
Aguascalientes, Ags.","https://www.google.com/maps/place/HIDROMESA/@21.8557601,-102.2948227,15z/data=!4m5!3m4!1s0x0:0xb2fd7a091fabf89e!8m2!3d21.8557601!4d-102.2948227",21.85577,-102.294812,,449 367 8506,,,,,,,,,,,Si,Si,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Recyclalo,"Avenida de la Convencion de 1914 Norte, Miravalle, CP. 20040
Aguascalientes, Ags.","https://www.google.com.mx/maps/place/recyclalo/@21.8891561,-102.3124584,17z/data=!4m8!1m2!2m1!1scentro+de+reciclables+aguascalientes!3m4!1s0x8429ee927ea67cff:0xf165fae6fe0d0f56!8m2!3d21.8891597!4d-102.3121672","21.889211
",-102.312196,,,,,,Si,,,,,Si,,Si,Si,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Captadora Progreso,"Av. de la Convención de 1914 Sur 1237, Ojo de Agua, CP.20260
Aguascalientes, Ags.","https://www.google.com/maps/place/Captadora+Progreso/@21.8676132,-102.2790517,182m/data=!3m1!1e3!4m12!1m6!3m5!1s0x8429edde3a9dd311:0xd18583dad7d8d34!2sCaptadora+Progreso!8m2!3d21.8673784!4d-102.278823!3m4!1s0x8429edde3a9dd311:0xd18583dad7d8d34!8m2!3d21.8673784!4d-102.278823","21.867392
",-102.278830,,449 962 8029,,,,Si,,,,,,,Si,Si,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Recyca,"Av. San Francisco de Los Viveros 1607, Ojocaliente CP.20196
Aguascalientes, Ags.","https://www.google.com/maps/place/RECYCA/@21.8831745,-102.2498201,13z/data=!4m8!1m2!2m1!1sRecicladora+aguascalientes!3m4!1s0x8429f1fa0eea49d1:0xbf2b8becbb933f4f!8m2!3d21.8831284!4d-102.249959","21.883184
",-102.250035,,,,,,Si,Si,,,,,,Si,Si,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Punto Limpio - Parque Ojocaliente l,"Cotorinas 13-33, Ojocaliente I, CP. 20190
Aguascalientes, Ags.","https://www.google.com/maps/place/21%C2%B053'01.4%22N+102%C2%B015'26.3%22W/@21.883724,-102.2594887,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d21.883724!4d-102.2573",21.883724,-102.257300,Lunes a domingo de 08:00 am - 03:00 pm,,,,,Si,Si,,,,,,Si,Si,Si,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Punto Limpio - Centro Comercial Plaza San Marcos,"Av. Fundición S / N, Altavista, San Cayetano CP. 20010
Aguascalientes, Ags","https://www.google.com/maps/place/21.8958,-102.31126",21.895800,-102.311260,Lunes a Domingo 08:00 am - 03:00 pm,,,,,Si,Si,,,,,,Si,Si,Si,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Majose Recicladora S.A de C.V,"Av. Mahatma Gandhi 1696, San Francisco del Arenal, CP. 20280
Aguascalientes, Ags.","https://www.google.com/maps/place/Mar%C3%ADa+Jos%C3%A9+Recicladora/@21.8301275,-102.3288159,13z/data=!4m8!1m2!2m1!1srecicladora+aguascalientes!3m4!1s0x8429edaeb0af08f5:0x876cd1a19c7494a9!8m2!3d21.8301275!4d-102.293797",21.830148593203067,-102.29376896954857,,449 971 0210,http://espmajose.weebly.com/nosotros.html,,"maldana@majoserecicladora.com
hpadilla@majoserecicladora.com",,,,,,,,Si,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Grupo Remex,"Av. Mahatma Gandhi 108, San Pedro, CP. 20280
Aguascalientes, Ags.","https://www.google.com/maps/place/Grupo+Remex/@21.8430713,-102.2935799,17z/data=!4m8!1m2!2m1!1sRecicladora+aguascalientes!3m4!1s0x8429edb6ecd07305:0x1089ce835a575092!8m2!3d21.843127!4d-102.2933819","21.843141
",-102.293392,,,,,,Si,,,,,,,Si,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Chatafierros San Pedro,"Av. Mahatma Gandhi No. 703 Col. San Pedro, CP. 20280
Aguascalientes, Ags.","https://www.google.com/maps/place/Chatafierros+San+Pedro/@21.8413518,-102.2937237,3a,75y,210.42h,90.68t/data=!3m6!1e1!3m4!1sIsh3ZehqsGWkNVNaLYPi6g!2e0!7i13312!8i6656!4m13!1m7!3m6!1s0x8429edb6b4b37d7f:0x74e7fe17f5af488c!2sAv+Mahatma+Gandhi+703,+Desarrollo+Especial+Centro+de+Abastos,+20280+Aguascalientes,+Ags.!3b1!8m2!3d21.8413096!4d-102.293756!3m4!1s0x8429edb6b4bb9cf7:0xc1831e4f98b01afd!8m2!3d21.841287!4d-102.2938342","21.841292
",-102.293831,"Lunes a viernes de 09:00 am - 06:00 pm
Sabado de 9:00 am - 03:00 pm", 449 917 1715,www.chatafierrosanpedro.com.mx,,chatafierrosanpedro@hotmail.com,Si,Si,,,,,, $	13.00 , $	2.50 ,,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Recicladora Santibañez - Reciplags ,"Mayor Pablo García, San Pedro, CP. 20280
Aguascalientes, Ags.","https://www.google.com/maps/place/Recicladora+Santiba%C3%B1ez/@21.8416961,-102.2974022,13z/data=!4m8!1m2!2m1!1sRecicladora+aguascalientes!3m4!1s0x8429edb47b2f643b:0x85c93859726ce2a!8m2!3d21.8415289!4d-102.2972112","21.841552
",-102.297214,,449 242 7007,,,,Si,SI,,,,,,Si,Si,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Dicsa,"Juan Carlos 114, Parque Industrial Siglo XXI, CP. 20283
Aguascalientes, Ags.","https://www.google.com/maps/place/DICSA/@21.801819,-102.2900237,17z/data=!3m1!4b1!4m8!1m2!2m1!1sRecicladora+aguascalientes!3m4!1s0x8429ed17ecc91b6b:0xf86a8fb8203693e9!8m2!3d21.801814!4d-102.287835","21.801860
",-102.287859,,449 929 5032,,,contacto@dicsaonline.com.mx,Si,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Aguascalientes,Redisa Ambiental,"Troquel 102, Fraccionamiento Industrial, CP. 20140
Aguascalientes, Ags.","https://www.google.com/maps/place/Redisa+Ambiental/@21.9048984,-102.2907173,17z/data=!4m8!1m2!2m1!1sRecicladora+aguascalientes!3m4!1s0x8429ee5a968977ab:0xb2d4c41c5e7b3d4d!8m2!3d21.9047657!4d-102.2907937","21.904799
",-102.290846,,449 153 3343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,Rincón de Romos,Chatarra Rincó de Romos,"Independencia, CP. 20410
Rincón de Romos, Ags.","https://www.google.com/maps/place/Chatarrera+Rinc%C3%B3n+de+Romos/@22.2236596,-102.3166069,15z/data=!4m5!3m4!1s0x0:0x70ce4bc93c626bcc!8m2!3d22.2236596!4d-102.3166069","22.223668
",-102.316588,,,,,,Si,Si,,,,,,Si,Si,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California,Ensenada ,Metales el Grullo,"De Ojos Negros Kilómetro 4, Emiliano Zapata, CP. 22859
Ensenada, B.C.","https://www.google.com.mx/maps/@31.8745944,-116.5748139,3a,75y,176.22h,93.47t/data=!3m6!1e1!3m4!1sjzwdpLtTkmjx3Y0hr1YGFg!2e0!7i13312!8i6656","31.874516
",-116.574571,"Lunes a viernes 9:30 a 05:00
Sabados de 9:30 a 01:00 pm",646 172 1464,,,,,,,,,,,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California,Ensenada ,"Centro de Acopio de Materiales Reciclables
","Camino Vecinal a Gómez Morin s/n, Colonia Gómez Morin, s/n.
Ensenada, B.C.","https://www.google.com/maps/place/Col+G%C3%B3mez+Mor%C3%ADn,+B.C./@31.8837948,-116.540441,608m/data=!3m1!1e3!4m5!3m4!1s0x80d88c5c79ebe939:0x7225a0ef3c5859c5!8m2!3d31.8826434!4d-116.5427223",31.883831239029714,-116.53962565218427,"Lunes a viernes de 7:30 am a 04:30 pm
Sabados de 08:00 am a 3:00 pm","646 156 3242
646 149 0929",,,camrec@hotmail.com, $	1.50 ,SI,,,, $	0.50 ,, $	22.40 , $	2.81 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California,Ensenada ,Metalmex de Ensenada S. DE R.L DE C.V,"Av. Abelardo L. Rodriguez Col, Josefa Ortiz de Domínguez, CP. 22890
Ensenada, B.C.","https://www.google.com/maps/place/Metalmex/@31.8477715,-116.6030868,15z/data=!4m2!3m1!1s0x0:0xf4722ee4df7590cb?sa=X&ved=2ahUKEwjE_pqI14HrAhUJTawKHWeHDgEQ_BIwCnoECBMQCA",31.847632,-116.603042,,646 176 4004,,,,,,,,,,,Si,Si,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California,Ensenada ,Recicladora de papel," Calle Km 5 Mar I, CP. 22813
Ensenada, B.C.","https://www.google.com.mx/maps/place/Recicladora+de+papel/@31.8798282,-116.5550464,328m/data=!3m1!1e3!4m12!1m6!3m5!1s0x80d88d062398f09f:0x63b444ce3b5384a1!2sCompa%C3%B1ia+Recicladora+de+Ensenada+S.A.+de+C.V.!8m2!3d31.8800702!4d-116.5563689!3m4!1s0x80d88c51602de657:0xb37820731d4c52e6!8m2!3d31.8798285!4d-116.5550461","31.879803
",-116.555014,"Lunes a viernes 10:00 a 06:00
Sabados 10:00 a 03:00 pm",,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California,Ensenada ,Compañia Recicladora de Ensenada SA de CV,"Calle Km 4 Mar I, CP. 22813
Ensenada, B.C.","https://www.google.com.mx/maps/place/Compa%C3%B1ia+Recicladora+de+Ensenada+S.A.+de+C.V./@31.8790808,-116.5578853,17z/data=!4m12!1m6!3m5!1s0x80d88d062398f09f:0x63b444ce3b5384a1!2sCompa%C3%B1ia+Recicladora+de+Ensenada+S.A.+de+C.V.!8m2!3d31.8800702!4d-116.5563689!3m4!1s0x80d88d062398f09f:0x63b444ce3b5384a1!8m2!3d31.8800702!4d-116.5563689","31.880056
",-116.556378,"Lunes a viernes de 10:00 - 06:00
Sabados 10:00 - 03:00 pm",646 131 8959,,,,,,,,,,,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California,Ensenada ,Recicladora California,"
Calle Granada 443 Col. Obrera CP. 22830
Ensenada, B.C.","https://www.google.com.mx/maps/place/Recicladora+California/@31.8605068,-116.6079268,20z/data=!4m8!1m2!2m1!1sCentro+de+Acopio+de+Materiales+Reciclables+ensenada!3m4!1s0x0:0xc80368c18ceac102!8m2!3d31.8605464!4d-116.6078836","31.860539
",-116.607884,"Lunes a viernes 8:00 am - 05:30 pm 
Sabados 08:00 am - 01:30 pm",646 120 5580,,Recicladora California,,,,,,,,,Si,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California,Ensenada ,Recicladora Villanueva,"Av. Guadalupe & Calle Octava, Obrera
Ensenada, B.C.","https://www.google.com/maps/@31.8664062,-116.6126079,3a,75y,36.05h,96.46t/data=!3m6!1e1!3m4!1sA25enZIvHe7lSpMlUPwMew!2e0!7i13312!8i6656","31.866599
",-116.612472,"Lunes a viernes 9:30 - 6:30 
Sabados 9:30 - 6:30",,,,,Si,Si,,,,,,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California,Ensenada ,El Centinela Recicladora,"Paseo de todos los santos 311 Col. Parque Industrial Chapultepec CP. 22785
Ensenada, B.C.","https://www.google.com/maps/place/31%C2%B047'03.5%22N+116%C2%B035'17.4%22W/@31.7842098,-116.5884242,150m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d31.7843059!4d-116.5881558",31.784306,-116.588156,"Lunes a viernes 9:30 - 05:00
Sabados 9:30 - 01:00 pm",646 120 2129,,,,,,,,,,, $	16.00 , $	0.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California,Mexicali,Mexicali Ambiental,"Carretera Mexicali a San Felipe Km. 2, S/N, Colonia División 2, CP. 21399
Mexicali, B.C.","https://www.google.com/maps/place/Mexicali+Ambiental/@32.5860539,-115.4308116,17z/data=!3m1!4b1!4m5!3m4!1s0x80d7772706bfc2c5:0xbbc9d9cd4ae3f08e!8m2!3d32.5860539!4d-115.4286229","32.586098
",-115.428693,,686 561 6404,https://www.mexicali-ambiental.com/,,contacto@mexicali-ambiental.com,Mayoreo,Mayoreo,,,,,,Mayoreo,Mayoreo,,Mayoreo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
